StartDate,EndDate,Name,Price,URL,Image,Location,Location,Region,Street,postalCode,Latitude,Longitude,Description
2022-11-04,2022-11-04,Master Class: Legal and practical considerations for commercial use of data,0.00,https://www.eventbrite.com/e/master-class-legal-and-practical-considerations-for-commercial-use-of-data-tickets-407829447857,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F341813409%2F1078660878173%2F1%2Foriginal.20220825-055541?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C147%2C1500%2C750&s=da83eafab6f03427d206dab68b77b638,Strathmore University,Nairobi,Nairobi County,"Karen Ole Sangale Rd, off Langata Road",0000,-1.3065222,36.81773099999999,This master class is part of the 4th edition of the Privacy Symposium Africa 2022. It will be facilitated by Bowmans
2022-09-12,2022-09-12,Project Needs Assessment Training (Virtually and Onsite),0.00,https://www.eventbrite.com/e/project-needs-assessment-training-virtually-and-onsite-tickets-216134483057,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F190597009%2F257297691896%2F1%2Foriginal.20211123-090129?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C121%2C532%2C266&s=e74bb28c1cfc939478cf93a7169d9e44,Fahari Palm Meetings and Accomodation,Kilimani,Nairobi,"George Padmore Road, Kilimani-Hurlingham",00300,-1.2963412,36.7913972,Project Needs Assessment Training
2022-09-19,2022-09-19,"Planning, Programming and Monitoring Projects Training",0.00,https://www.eventbrite.com/e/planning-programming-and-monitoring-projects-training-tickets-216137311517,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F190600549%2F257297691896%2F1%2Foriginal.20211123-091400?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C60%2C904%2C452&s=bf0641db5ff22b31d73d5c384f1782ef,Fahari Palm Meetings and Accomodation,Kilimani,Nairobi,"George Padmore Road, Kilimani-Hurlingham",00300,-1.2963412,36.7913972,"Planning, Programming, and Monitoring Projects Training (Virtually and Onsite)"
2022-10-14,2022-10-14,"Customer Service Excellence & Emotional Intelligence Training, Nairobi KE",0.00,https://www.eventbrite.co.uk/e/customer-service-excellence-emotional-intelligence-training-nairobi-ke-tickets-394527080117,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F347879859%2F1035987601693%2F1%2Foriginal.20220904-213856?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C111%2C800%2C400&s=54c318e55bdb808478544091ab0e4f9b,The Sarit Expo Centre,Nairobi,Nairobi County,Sarit Expo Center,00800,-1.2920659,36.8219462,Grow your Business and Profits with excellent Customer Service. Learn time-tested and innovative strategies in this expert-led training
2022-09-12,2022-09-12,Procurement Planning and Budgeting Training (Virtual and Onsite),0.00,https://www.eventbrite.com/e/procurement-planning-and-budgeting-training-virtual-and-onsite-tickets-216131724807,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F190594539%2F257297691896%2F1%2Foriginal.20211123-085351?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C404%2C4852%2C2426&s=2cdaf88b160190a882a86d195347deb2,Fahari Palm Meetings and Accomodation,Kilimani,Nairobi,"George Padmore Road, Kilimani-Hurlingham",00300,-1.2963412,36.7913972,Procurement Planning and Budgeting
2022-11-02,2022-11-02,Master Class: Utilising data while safeguarding women safety online.,0.00,https://www.eventbrite.com/e/master-class-utilising-data-while-safeguarding-women-safety-online-tickets-407834302377,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F341819159%2F1078660878173%2F1%2Foriginal.20220825-061738?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C101%2C1500%2C750&s=4878beb46e0ad169231ca0cdac2519ff,Strathmore University,Nairobi,Nairobi County,"Karen Ole Sangale Rd, off Langata Road",0000,-1.3065222,36.81773099999999,How the public can take advantage of the new opportunities presented by publicly existing data while safeguarding women's safety online?
2022-09-19,2022-09-30,"Comprehensive CCTV Skills: Planning, Design, Installation & Maintenance",0.00,https://www.eventbrite.com/e/comprehensive-cctv-skills-planning-design-installation-maintenance-tickets-264196046487,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F225364279%2F29650787725%2F1%2Foriginal.jpg?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C80%2C960%2C480&s=2e4bc357bc07ba373c2386853a710686,Kenvision Techniks Talent Centre,Nairobi,Nairobi,Q7-9 Feliz Stalls,00200,-1.1890227,36.9325552,"Comprehensive CCTV Skills: Planning, Design, Installation & Maintenance"
2022-09-05,2022-09-09,Electronic Records/ Information Management  Skills - A Certificate Course,0.00,https://www.eventbrite.com/e/electronic-records-information-management-skills-a-certificate-course-tickets-264190219057,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F225354109%2F29650787725%2F1%2Foriginal.20200215-063005?w=370&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C52%2C370%2C185&s=5519ad36e67d95f486e1ec837a2ad11c,Sunstar Hotel Nairobi,Nairobi,Nairobi County,Garden Estate Road,,-1.234408,36.86766899999998,"Electronic Records/ Information Management-1- Certificate Training

Do you keep files you don’t need?
Are you missing files you do need?
Doe"
2022-09-10,2022-09-10,Herbal Remedy Talks,0.00,https://www.eventbrite.com/e/herbal-remedy-talks-tickets-308285509257,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F255329599%2F762176175203%2F1%2Foriginal.20220327-194639?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C55%2C644%2C322&s=97b4c45bbaf4301084b1f5af09fac5f2,The Word Eco Park,Nairobi,Nairobi County,Opposite Gituamba Primary,00200,-1.2602033,37.0066486,"Discuss, identify, prepare and learn about common herbal remedies and plants."
2022-09-19,2022-09-19,Project Evaluation Training (Virtually and Onsite),0.00,https://www.eventbrite.com/e/project-evaluation-training-virtually-and-onsite-tickets-407915475167,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F341894509%2F257297691896%2F1%2Foriginal.20220825-100612?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C307%2C1800%2C900&s=af602a9e8117de8c9fa8d01155a1f998,Fahari Palm Meetings and Accomodation,Kilimani,Nairobi,"George Padmore Road, Kilimani-Hurlingham",00300,-1.2963412,36.7913972,Project Evaluation Training (Virtually and Onsite)
2022-09-19,2022-09-19,Introduction to Monitoring and Evaluation of Development Projects,0.00,https://www.eventbrite.com/e/introduction-to-monitoring-and-evaluation-of-development-projects-tickets-407996156487,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F341976899%2F257297691896%2F1%2Foriginal.20220825-100612?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C307%2C1800%2C900&s=b20b389f10dc8fa435bab64b9f462895,Fahari Palm Meetings and Accomodation,Kilimani,Nairobi,"George Padmore Road, Kilimani-Hurlingham",00300,-1.2963412,36.7913972,Introduction to Monitoring and Evaluation of Development Projects (Virtual and Onsite)
